#Datos obtenidos de Torres et al. 2015, AJ 150, 154
#HJD          VR1     err    VR2    err    
#             (km/s)         (km/s)
2453690.9255  -84.96  0.64   84.73  2.32   
2454048.9456  -82.16  0.47   76.84  1.72   
2454070.9780  -76.65  0.39   72.80  1.40   
2454136.8728   62.18  0.46  -85.06  1.66   
2454424.9270   60.25  0.37  -82.04  1.32   
2454459.8999   61.68  0.52  -83.79  1.89   
2454898.7241  -87.35  0.64   84.93  2.32   
2455143.9634  -71.58  0.47   65.89  1.21   
2455144.9492  -86.62  0.57   85.43  1.46   
2455168.8636   64.13  0.39  -85.34  0.99   
2455175.9515   63.21  0.37  -87.01  0.94   
2455200.8544  -90.62  0.33   87.24  0.87   
2455281.7064   56.67  0.44  -79.47  1.15   
2455488.0005  -70.92  0.40   67.22  1.02   
2455498.9988   62.34  0.19  -84.27  0.50   
2455519.9710   63.23  0.26  -85.74  0.66   
2455527.0056   63.28  0.29  -85.92  0.77   
2455576.8032   50.83  0.27  -72.13  0.69   
2455607.6055  -80.92  0.20   76.89  0.53   
2455614.6485  -81.86  0.16   77.84  0.42   
2455649.6335  -77.34  0.37   72.76  0.96   
2455664.6446  -83.02  0.32   79.65  0.84   
2455828.9836   62.55  0.24  -84.16  0.60   
2455849.9884   62.98  0.32  -85.49  0.82   
2455874.8917  -90.27  0.21   87.02  0.56   
2455916.8880  -89.51  0.34   85.94  0.89   
2455937.8980  -88.85  0.26   85.18  0.67   
2455959.6826  -76.47  0.25   72.75  0.63   
2455993.7614  -80.52  0.47   76.80  1.21   
2456028.6487  -71.71  0.28   67.36  0.74   
2456204.9387  -90.70  0.35   85.60  0.93   
2456229.0115   63.71  0.29  -84.82  0.77   
2456233.0040  -90.21  0.22   86.87  0.58   
2456264.9954   48.45  0.40  -68.25  1.05   
2456675.8981  -74.17  0.34   69.32  0.90   
2456702.7129  -73.06  0.33   69.63  0.85   
2456762.6387   63.31  0.38  -84.58  0.98   
2456941.9956  -89.41  0.38   86.42  0.97   
2456966.8892   54.31  0.51  -76.07  1.30   
2456993.9941   61.31  1.19  -84.06  3.09   
2457001.9581   55.14  0.24  -76.03  0.60   
2457015.9191   57.27  0.34  -78.09  0.89   
2457061.8230  -83.88  0.41   80.67  1.07   
2457063.7909   50.46  0.35  -71.42  0.93   
2455864.8350   46.10  0.69  -65.50  1.26   
2455928.7770   14.40  0.69  -31.70  1.26   
2455945.6780  -74.40  0.69   71.40  1.26   
2455949.8940   13.40  0.69  -25.70  1.26   
2455958.8760  -86.60  0.69   85.70  1.26   
2455978.7790  -32.10  0.69   24.70  1.26   
2456015.7140  -82.20  0.69   81.60  1.26   
2456033.6480   34.10  0.69  -52.40  1.26   
2456200.9530   63.90  0.69  -85.80  1.26   
2456203.9840  -61.80  0.69   55.20  1.26   
2456206.9800   39.10  0.69  -59.60  1.26   
2456208.9340   43.60  0.69  -63.70  1.26   
2456210.9550  -60.00  0.69   52.10  1.26
