 #alfa     delta/R_g
   0.657    0.6802
   0.702    0.6232
   0.732    0.5855
   0.771    0.5368
   0.798    0.5022
   0.805    0.4927
   0.836    0.4529
   0.861    0.4209
   0.872    0.4058
   0.902    0.3659
   0.854    0.4303
   0.875    0.4020
   0.882    0.3925
   0.020    1.7016
   0.007    1.7546
   0.031    1.6666
   0.046    1.6240
   0.042    1.6356
   0.057    1.5965
   0.090    1.5230
   0.130    1.4422
   0.120    1.4625
   0.145    1.4148
   0.135    1.4342
   0.181    1.3520
   0.189    1.3379
   0.201    1.3172
   0.199    1.3206
   0.218    1.2903
   0.234    1.2642
   0.262    1.2200
   0.252    1.2356
   0.248    1.2419
   0.311    1.1456
   0.338    1.1060
   0.332    1.1144
   0.389    1.0331
   0.412    1.0020
   0.467    0.9274
   0.481    0.9082
   0.518    0.8589
   0.494    0.8915
   0.536    0.8360
   0.592    0.7627
   0.604    0.7476
   0.597    0.7562
   0.624    0.7220
   0.629    0.7157
   0.670    0.6637
   0.659    0.6781
   0.678    0.6535
   0.744    0.5698
   0.749    0.5639
   0.710    0.6132
   0.799    0.5003
   0.778    0.5271
   0.829    0.4624
   0.833    0.4567
   0.857    0.4265
   0.855    0.4284
   0.878    0.3982
   0.915    0.3487
   0.009    1.7442
   0.044    1.6297
   0.024    1.6870
   0.049    1.6183
   0.053    1.6072
   0.044    1.6297
   0.060    1.5912
   0.116    1.4708
   0.098    1.5051
   0.164    1.3809
   0.174    1.3627
   0.168    1.3736
   0.199    1.3206
   0.201    1.3172
   0.203    1.3138
   0.461    0.9347
   0.495    0.8892
   0.504    0.8775
   0.511    0.8681
   0.551    0.8156
   0.688    0.6413
   0.716    0.6053
   0.741    0.5737
   0.726    0.5934
   0.764    0.5445
   0.780    0.5252
   0.835    0.4548
   0.895    0.3755
   0.881    0.3944
   0.868    0.4114
   0.891    0.3812
   0.904    0.3640
   0.226    1.2772
   0.288    1.1807
   0.278    1.1957
   0.303    1.1572
   0.313    1.1427
   0.319    1.1342
   0.334    1.1116
   0.376    1.0516
   0.357    1.0785
   0.401    1.0175
   0.408    1.0072
   0.395    1.0253
   0.441    0.9617
   0.458    0.9396
   0.490    0.8963
   0.488    0.8986
   0.494    0.8915
   0.543    0.8269
   0.551    0.8156
   0.565    0.7978
   0.567    0.7956
   0.572    0.7890
   0.619    0.7284
   0.631    0.7136
   0.680    0.6515
   0.688    0.6413
   0.735    0.5815
   0.719    0.6013
   0.737    0.5796
   0.778    0.5271
   0.775    0.5310
   0.778    0.5271
   0.798    0.5022
   0.808    0.4889
   0.823    0.4699
   0.847    0.4397
   0.868    0.4114
   0.848    0.4378
   0.839    0.4491
   0.874    0.4039
   0.881    0.3944
   0.891    0.3812
  -0.029    1.8036
  -0.038    1.8036
  -0.022    1.8036
  -0.025    1.8036
  -0.022    1.8036
   0.057    1.5965
   0.027    1.6800
   0.073    1.5608
   0.053    1.6072
   0.096    1.5095
   0.079    1.5463
   0.109    1.4834
   0.116    1.4708
   0.137    1.4303
   0.154    1.3995
   0.176    1.3591
   0.189    1.3379
   0.220    1.2870
   0.213    1.2970
   0.252    1.2356
   0.264    1.2170
   0.276    1.1987
   0.307    1.1514
   0.313    1.1427
   0.325    1.1256
   0.353    1.0839
   0.365    1.0677
   0.388    1.0357
   0.401    1.0175
   0.403    1.0149
   0.401    1.0175
   0.467    0.9274
   0.452    0.9469
   0.477    0.9130
   0.470    0.9226
   0.551    0.8156
   0.555    0.8112
   0.567    0.7956
   0.606    0.7455
   0.608    0.7433
   0.626    0.7199
   0.670    0.6637
   0.712    0.6112
   0.667    0.6678
   0.652    0.6864
   0.667    0.6678
   0.746    0.5678
   0.748    0.5659
