# CALIBRACION SECUENCIA PRINCIPAL SCHMIDT-KALER
# Tomada de Allen's Astrophysical Quantities 1999
# Tabla 15.9 pp. 390-391 
#
#B-V_0  U-B_0  M_v  
#
-0.33   -1.20  -5.2   
-0.305  -1.10  -3.6   
-0.30   -1.08  -3.25  
-0.28   -1.00  -2.6   
-0.25   -0.90  -2.1   
-0.22   -0.80  -1.5   
-0.20   -0.69  -1.1   
-0.15   -0.50  -0.2   
-0.10   -0.30   0.6   
-0.05   -0.10   1.1   
0.00     0.01   1.5   
0.05     0.05   1.7   
0.10     0.08   1.9   
0.15     0.09   2.1   
0.20     0.10   2.4   
0.25     0.07   2.55  
0.30     0.03   2.8   
0.35     0.00   3.1   
0.40    -0.01   3.4   
0.50     0.00   4.1   
0.60     0.08   4.7   
0.70     0.23   5.2   
0.80     0.42   5.8   
0.90     0.63   6.3   
1.00     0.86   6.7   
1.10     1.03   7.1   
1.20     1.13   7.5   
1.30     1.20   8.0   
1.40     1.22   8.8   
1.50     1.17   10.3  
1.60     1.20   12.0  
1.70     1.32   13.2  
1.80     1.43   14.2  
1.90     1.53   15.5  
2.00     1.64   16.7 
