# Fotometría NGC 1261 Kravtsov+2010
#
# bs = candidatas a blue stragglers
#
# Xpos   Ypos    Vmag     U-B     B-V     V-I   bs
# pix     pix     mag     mag     mag     mag   
#  
 561.3   429.7  11.600  -0.067   0.485   0.549  99
1977.5   324.3  11.740   0.529   1.148   1.146  99
 154.3   149.2  12.415   0.611   1.032   0.998  99
 790.2  1458.5  13.281   1.478   1.677   1.579  99
 724.7   245.3  13.540  -0.073   0.599   0.638  99
1303.4   275.0  13.555   0.386   0.805   0.800  99
 152.5   967.1  13.665   0.022   0.641   0.729  99
1064.8  1187.2  13.677   1.660   1.769   1.726  99
1063.4  1251.3  13.704   1.357   1.540   1.515  99
 643.9  1209.0  13.717   0.430   0.795   0.808  99
1095.5  1246.1  13.812   1.484   1.538   1.492  99
 806.8  1417.8  13.824   1.553   1.617   1.563  99
1210.7  1289.6  13.922   1.568   1.594   1.533  99
1048.7  1060.8  13.965   1.292   1.477   1.441  99
1146.0  1083.0  13.995   0.898   1.436   1.226  99
 294.1  1057.9  14.042  -0.120   0.335   0.439  99
1145.4  1037.7  14.073   0.971   1.334   1.317  99
1006.2  1013.9  14.078   1.129   1.372   1.363  99
1058.9  1233.8  14.079   1.103   1.353   1.352  99
1584.6  1216.8  14.088   0.531   0.956   0.942  99
1104.9  1151.7  14.150   0.877   1.247   1.266  99
1291.3  1422.9  14.184   0.197   0.684   0.778  99
1132.2  1135.9  14.195   0.817   1.167   1.188  99
1647.4  1381.2  14.213  -0.103   0.518   0.621  99
 900.1  1253.5  14.285   1.114   1.298   1.333  99
1021.4  1079.7  14.310   1.170   1.300   1.281  99
1081.7   996.7  14.369   0.951   1.257   1.256  99
 961.1  1141.2  14.421   1.016   1.263   1.268  99
1147.7  1085.4  14.435  99.999   1.240   1.250  99
1182.4  1226.0  14.518   1.017   1.237   1.231  99
1041.1  1095.5  14.547   0.525   1.009   1.068  99
1036.5  1181.0  14.548   0.572   1.033   1.085  99
1071.9  1066.9  14.572   0.871   1.190   1.196  99
1082.9  1117.3  14.592   0.758   1.154   1.172  99
1352.2  1357.6  14.597   0.958   1.241   1.256  99
1435.3   227.1  14.605   1.062   1.257   1.374  99
1105.8  1073.4  14.611   0.684   1.081   1.111  99
1008.5  1137.6  14.623   0.961   1.202   1.212  99
1068.0  1260.4  14.642   0.836   1.177   1.204  99
1149.7  1120.4  14.690   0.765   1.077   1.135  99
1073.3  1248.0  14.708   0.770   1.124   1.164  99
1216.9   940.0  14.735   0.833   1.160   1.163  99
1075.4  1123.8  14.736   0.507   1.010   1.089  99
1071.4  1231.9  14.751   0.718   1.081   1.123  99
1058.4  1155.2  14.759   0.694   1.117   1.156  99
 937.2   854.3  14.760   0.718   1.102   1.147  99
1013.5  1189.8  14.765   0.783   1.137   1.205  99
1075.0  1147.6  14.782   0.162   0.750   0.842  99
 942.2  1135.7  14.785   0.650   1.061   1.120  99
1011.9  1001.9  14.799   0.716   1.144   1.175  99
1040.4  1039.1  14.806   0.611   1.043   1.091  99
1733.8  1125.7  14.830   0.348   0.921   1.022  99
1158.1  1149.4  14.860   0.607   1.035   1.076  99
1071.7  1222.0  14.863   0.743   1.100   1.113  99
1098.7  1165.8  14.865   0.574   1.032   1.088  99
 967.5  1279.9  14.873   0.631   1.041   1.122  99
1121.3  1115.9  14.894   0.270   0.859   0.951  99
 946.1  1022.3  14.897   0.622   1.043   1.092  99
1143.2  1144.1  14.897   0.680   1.095   1.127  99
1074.4  1129.6  14.906   0.337   0.769   0.884  99
 918.0  1171.0  14.911   0.457   0.971   1.067  99
1138.5  1204.6  14.941   0.644   1.068   1.099  99
1069.7  1133.2  14.989   0.389   0.946   1.008  99
1324.4  1169.4  15.006   0.609   0.993   1.058  99
1082.6  1269.9  15.012   0.671   1.090   1.134  99
1239.9   628.1  15.019   0.166   0.671   0.694  99
1010.7   586.7  15.056   0.678   1.111   1.145  99
2214.7   192.4  15.088  -0.140   0.611   0.705  99
 324.4  1790.2  15.089   0.419   0.842   0.884  99
1069.0  1115.2  15.100   0.334   0.865   1.021  99
1043.5  1186.3  15.103   0.626   1.009   1.081  99
1138.1  1156.3  15.103   0.614   1.045   1.078  99
1297.7  1220.9  15.122   0.624   1.060   1.112  99
1131.0  1143.5  15.124   0.638   1.068   1.108  99
1146.4  1006.7  15.125   0.672   1.056   1.104  99
1117.4  1064.9  15.148   0.789   1.082   1.089  99
1018.2  1314.8  15.160   0.574   1.029   1.120  99
1731.4  1789.3  15.171  -0.052   0.604   0.659  99
1073.8  1274.4  15.173   0.687   1.066   1.115  99
 787.3   180.8  15.214   0.053   0.737   0.738  99
1181.4  1100.2  15.218   0.491   0.940   1.001  99
1936.2   976.5  15.221   0.460   0.879   0.926  99
1114.0  1156.9  15.228   0.306   0.875   0.966  99
1695.5  1629.0  15.231  -0.077   0.566   0.654  99
1180.7  1023.0  15.234   0.491   0.978   1.038  99
1002.4  1135.7  15.244   0.536   1.021   1.093  99
1116.4  1042.6  15.245   0.115   0.731   0.850  99
 993.2  1089.8  15.256   0.134   0.747   0.857  99
 992.7  1152.7  15.257   0.609   1.022   1.085  99
1040.3  1111.5  15.273   0.436   0.896   0.999  99
1095.5  1119.6  15.322  99.999  99.999   0.840  99
1049.2  1128.7  15.329   0.277   0.885   0.989  99
1095.5  1121.1  15.338   0.393   0.850   0.851  99
1118.4  1032.9  15.340   0.484   0.981   1.045  99
1075.9  1193.5  15.343   0.540   0.984   1.042  99
1179.0  1028.9  15.355   0.412   0.917   0.991  99
 941.7  1164.2  15.374   0.679   1.040   1.080  99
 947.9  1183.6  15.375   0.278   0.837   0.954  99
1054.3  1107.6  15.389   0.458   0.966   1.032  99
1050.4  1161.0  15.394   0.532   0.963   1.017  99
 914.0   654.8  15.413   0.466   1.014   1.083  99
1047.7  1042.3  15.421   0.531   1.003   1.058  99
 227.2  1345.2  15.434   0.303   0.883   1.006  99
1204.2  1088.1  15.441   0.516   0.995   1.044  99
1082.5  1133.2  15.442   0.359   0.890   1.003  99
1093.8  1188.4  15.451   0.667   1.016   1.074  99
1093.1  1004.4  15.461   0.276   0.841   0.933  99
 853.2   783.3  15.461   0.459   0.985   1.075  99
1207.1  1037.3  15.467   0.561   0.992   1.037  99
 651.9  2189.4  15.476   0.142   0.702   0.737  99
1009.1  1161.4  15.485   0.378   0.907   1.013  99
1047.4  1267.4  15.491   0.378   0.875   0.977  99
 997.4  1188.2  15.497   0.113   0.699   0.823  99
1080.1  1148.7  15.514   0.100   0.614   0.808  99
1081.8  1285.3  15.517   0.371   0.908   0.976  99
 969.8  1059.6  15.517   0.478   0.950   1.031  99
1142.6  1126.7  15.534   0.286   0.802   0.915  99
1109.6  1139.4  15.555   0.485   0.946   1.024  99
1108.1  1209.7  15.599   0.554   0.962   1.027  99
1075.8  1118.7  15.602   0.249   0.823   0.925  99
1049.7  1124.5  15.610   0.007   1.015   0.773  99
1165.3  1219.9  15.613   0.384   0.904   0.907  99
 972.1  1091.1  15.614   0.237   0.791   0.938  99
 943.2  1085.8  15.619   0.434   0.941   1.020  99
1294.9  1979.9  15.635   0.120   0.694   0.757  99
1329.1   817.3  15.645   0.319   0.867   0.953  99
 896.3  1637.8  15.668   0.398   0.976   1.040  99
1378.9   540.4  15.672   0.254   0.827   0.933  99
1092.7  1161.8  15.672   0.254   0.805   0.909  99
1037.6  1056.1  15.679   0.039   0.367   0.569  99
1101.3  1059.1  15.689   0.342   0.816   0.921  99
1080.4  1069.5  15.698   0.373   0.898   1.001  99
1041.4  1218.2  15.699   0.382   0.879   0.975  99
 863.1  1082.0  15.707   0.256   0.847   0.965  99
1080.4  1141.7  15.708   0.269   0.871   0.927  99
