#Title: Optically visible open clusters and Candidates (Dias+ 2002-2015)
# longitud latitud  Dist  Edad   
# (deg)    (deg)    (pc)  (log t [yr])
#
l;b;d;Age
116.75337;-1.28894;2700;8.47
114.72949;-11.31466;1275;9.23
116.46844;-2.99402;3800;8.95
117.62451;2.26788;1242;8.1
118.22097;4.99607;1000;6.1
117.63013;1.20613;4365;8.89
15.57186;-79.26118;269;7.796
61.87492;-77.6529;620;9.34
117.72619;-0.95321;2530;6.7
116.16487;-10.58366;2170;9.1
117.7961;-1.97888;2420;8.6
118.15249;0.19714;4000;8.25
117.96746;-1.306;3100;8.5
117.64229;-3.69135;600;6.48
117.83807;-2.72283;4638;8.9
118.58501;-1.09007;5492;9.3
118.54713;-2.6106;3859;9.05
118.8438;-1.67034;4365;8.2
118.46255;-6.88754;1200;8.83
118.96846;-3.31425;1850;8.9
119.44376;-0.92153;1430;7.74
119.76264;1.68969;1080;9.6
119.75418;0.00361;1600;8.7
119.92585;-0.10213;1100;8.337
119.79658;-1.38899;3026;8.126
119.70694;-2.30798;5250;8.9
120.07283;1.02993;5087;9.3
120.25668;1.28877;1123;9.055
120.99618;8.60192;1290;9.0
120.05116;-2.05077;2700;8.5
120.36264;-0.34501;1800;8.55
120.27019;-2.54258;1625;7.886
120.13394;-4.83389;1700;8.825
120.02087;-7.47704;1700;7.9
120.67783;0.56635;630;7.0
120.56185;-1.27186;5220;8.4
120.7452;0.36615;2960;7.9
120.74821;-0.92646;3162;8.4
120.86121;0.53671;3470;7.11
121.01002;2.31312;1507;9.25
121.49924;-1.74377;752;7.0
121.55231;-0.8903;2818;8.08
121.93007;2.12779;5501;9.18
121.96386;1.21295;1690;7.1
122.0111;-1.08282;657;8.114
121.96813;-2.70727;1775;8.0
122.09488;1.3263;1920;7.0
122.23773;1.52163;2460;7.1
122.8431;22.38394;1714;9.88
122.64649;4.32988;3798;8.25
122.74227;1.25528;2400;8.962
122.86348;3.09667;810;8.83
122.87401;-4.68837;5750;9.78
123.04565;1.77987;1450;9.22
123.12265;-6.2429;2940;6.54
123.12833;-3.02115;2534;9.21
123.13766;-1.29106;750;8.34
123.26715;-13.30377;302;8.2
123.17778;2.92273;1506;9.075
123.85524;-7.02004;1500;7.03
123.58136;5.60602;1600;9.1
123.98167;1.09774;2320;7.2
124.2649;-0.05823;1410;8.0
124.67771;-0.59091;1785;7.41
124.65214;2.8312;7200;9.0
124.93904;-1.22262;1148;8.505
125.35107;-0.44038;1363;7.85
128.44643;-30.6035;190;8.313
125.88781;-2.60873;2323;7.5
126.11045;-3.90862;2400;8.26
126.04862;-1.41434;1800;8.7
126.31675;-2.3413;2075;9.0
126.63482;-4.38258;2429;7.324
126.12942;0.37266;3001;8.397
126.32518;1.02372;2146;8.86
126.83041;0.38455;1934;8.35
126.89294;0.02019;6460;9.1
127.19521;0.74791;2430;8.35
127.61666;-1.80534;2800;8.9
128.05244;-1.80405;2194;7.336
128.17948;-0.94459;1630;8.0
128.22423;-1.13277;2469;7.3
127.74043;2.08702;3981;9.232
127.59339;3.40133;2501;9.0
127.82867;3.50739;6001;9.3
128.03186;2.50261;3500;6.68
128.23693;2.15363;7500;8.6
128.54583;1.73243;2500;7.0
130.2212;-6.29892;1372;9.2
129.08207;-0.35749;2410;7.0
129.37528;-1.53414;1938;7.548
127.19193;9.3889;702;8.373
129.46673;-0.94065;2420;7.4
130.34567;-4.33662;1200;8.17
129.29267;0.75973;6200;8.9
130.05128;-0.95673;2200;7.4
130.09739;-0.97671;2520;7.5
130.07137;-0.18906;4800;9.0
131.23085;-4.81307;1200;8.7
273.76206;-67.48848;1380;9.055
130.13788;0.37624;2570;6.6
130.55748;-0.56061;2750;8.45
137.12509;-23.25417;457;9.16
132.40371;-6.15938;1207;8.248
131.20275;-1.63354;1618;8.7
131.54534;-2.76865;2000;7.36
127.35167;13.21272;3150;9.5
130.88646;1.05645;2700;7.0
131.15863;0.52368;3300;8.34
