# Extraído de catálogo Harris 2010
# X, Y, Z in kpc
#
X;Y;Z;FeH
1.9;-2.6;-3.1;-0.72
-0.1;0.0;-8.9;-1.32
3.1;-5.1;-6.2;-1.26
-13.9;4.7;-26.3;-0.7
0.1;-10.0;-12.9;-1.27
-6.8;8.1;3.6;-0.65
-16.5;-80.1;-92.3;-1.7
-53.2;-41.7;-59.5;-1.43
-26.4;4.4;-4.3;-1.42
-4.2;-8.9;-6.9;-1.18
-7.7;-8.3;-6.3;-1.6
-4.3;-9.4;-3.0;-1.92
-74.7;-0.5;35.2;-2.15
-30.2;-8.2;15.0;
-5.9;-38.7;4.8;-1.2
2.0;-9.2;-1.9;-1.14
2.9;-7.1;-2.6;-0.83
-34.3;-59.7;61.7;-1.63
0.6;-4.8;0.7;-1.59
-31.4;-12.9;103.2;-1.41
-2.5;-15.7;45.6;
-1.3;-4.1;18.8;-1.8
2.9;-4.9;-1.0;-2.17
10.7;-17.8;4.3;-1.68
4.1;-7.2;6.0;-2.23
3.6;-5.4;-0.9;-1.85
2.8;-1.4;17.6;-2.1
3.0;-1.4;17.1;-2.27
3.1;-3.9;1.3;-1.53
1.5;1.3;10.0;-1.5
7.6;-8.6;2.1;-1.69
20.7;-17.2;17.8;-1.3
3.3;3.0;15.3;-1.98
15.7;-5.0;19.1;-1.88
26.4;-14.6;17.7;-1.98
10.7;-14.0;-6.6;-1.53
26.4;-13.7;12.1;-1.91
16.2;0.2;16.7;-1.41
10.3;-3.2;6.3;-1.9
5.1;0.3;5.5;-1.29
6.4;-4.2;0.7;-0.49
8.9;-5.6;0.8;-1.29
16.1;-9.9;1.4;0.0
9.3;-4.0;2.4;-1.59
6.8;-4.1;-0.4;-0.67
49.7;27.3;51.4;-1.62
9.4;-1.2;3.3;-1.75
2.1;-0.3;0.6;-1.16
11.0;-10.0;-4.2;-1.98
8.5;-1.2;2.4;-1.76
9.6;-3.0;1.2;-1.65
7.8;-2.1;1.3;-0.74
5.9;0.3;2.5;-1.02
8.0;-1.1;1.7;-1.5
2.8;4.6;4.7;-1.53
6.5;22.3;19.7;-1.47
4.2;1.2;2.1;-1.37
9.1;-3.5;-0.3;
11.2;-0.2;2.7;-1.28
3.9;1.1;1.7;-1.56
10.0;-2.2;0.6;-1.02
38.9;13.3;18.6;-2.07
6.7;-0.8;0.9;-1.18
8.7;-0.5;1.4;-1.74
15.0;-0.4;2.6;-1.26
9.2;0.0;1.8;-2.1
9.4;-0.4;1.3;-1.99
5.8;-0.4;0.6;-0.45
10.4;-0.5;1.0;-0.45
2.5;6.3;4.7;-2.31
7.7;0.1;1.1;-1.25
7.7;0.7;1.5;-1.77
8.4;0.7;1.4;-0.55
14.7;1.7;2.7;-0.4
9.2;-0.1;0.9;-1.37
5.3;-1.8;-0.7;-0.64
23.2;6.9;6.5;-1.7
7.5;-0.5;0.3;-0.69
3.2;1.1;1.0;-0.59
7.2;-0.5;0.2;-1.41
8.2;-0.4;0.3;-1.0
6.0;-4.1;-2.3;-0.99
8.2;-0.7;0.0;-0.33
10.7;-1.9;-0.6;-0.75
6.7;-0.3;0.1;-1.03
8.1;-1.3;-0.5;-0.7
9.6;-2.5;-1.2;-0.55
8.3;3.3;2.4;-1.28
10.5;0.6;0.7;-1.02
2.1;-0.8;-0.5;-2.02
5.8;0.2;0.2;-0.91
17.4;9.3;5.8;-2.15
13.6;-0.8;-0.6;-1.51
6.9;0.5;0.2;-0.23
8.4;1.1;0.6;-0.36
11.5;-1.3;-1.0;-0.46
6.8;-0.2;-0.3;-0.56
11.5;-0.9;-0.8;-1.5
7.8;0.7;0.1;-0.64
10.9;-2.3;-2.0;-0.46
7.1;0.4;-0.2;-1.05
6.2;0.3;-0.3;-0.65
10.0;3.5;1.3;-1.23
5.8;0.5;-0.2;-1.0
7.7;0.1;-0.5;-1.34
6.0;3.1;1.2;-1.79
7.9;0.2;-0.6;-0.11
7.2;2.8;0.9;-0.63
5.2;0.3;-0.3;-1.35
2.9;0.3;-0.1;-1.4
7.3;-1.4;-1.5;-1.81
3.5;0.7;0.0;
20.4;-4.7;-4.7;-1.8
5.9;0.5;-0.3;-0.18
4.9;0.8;-0.1;-1.08
7.3;0.0;-0.8;-1.32
5.0;2.0;0.5;-0.75
4.7;0.7;-0.2;-0.5
10.8;0.1;-1.3;-0.76
6.5;0.4;-0.6;-1.3
5.4;1.4;-0.1;-0.33
12.3;-4.0;-3.8;-1.5
7.8;0.4;-1.1;-0.44
5.4;0.7;-0.5;-1.32
9.3;1.3;-1.2;-0.95
8.6;0.3;-1.6;-0.64
8.0;1.4;-0.9;-1.26
9.8;0.3;-2.0;-0.81
3.2;0.6;-0.4;-1.7
12.3;3.1;-1.5;-0.37
8.8;0.4;-2.0;-1.62
3.6;2.2;0.0;
6.3;3.0;-0.5;-1.02
25.6;2.5;-6.5;-1.49
6.8;1.6;-1.3;-1.26
8.3;0.0;-2.6;-1.1
6.4;4.7;-0.3;-1.6
3.3;-1.4;-1.7;-1.54
5.9;4.3;-0.5;-0.4
4.3;8.3;1.4;-1.98
21.4;1.3;-7.8;-0.32
3.6;4.7;0.3;-0.1
26.4;4.0;-10.2;-1.75
4.9;0.8;-2.1;-1.94
23.8;2.4;-10.9;-2.16
11.0;6.8;-3.6;-0.4
2.2;3.4;-0.3;-0.78
17.6;6.5;-9.1;-1.29
9.1;11.7;-5.1;-1.47
11.7;8.3;-9.2;-1.42
17.2;34.8;-13.7;-1.52
3.9;8.3;-4.8;-2.37
5.6;7.5;-6.7;-1.65
4.9;2.5;-5.9;-2.27
11.0;6.5;-14.1;-0.85
1.0;19.1;-17.6;-1.88
7.0;9.4;-23.5;-1.78
