#Title: Optically visible open clusters and Candidates (Dias+ 2002-2015)
#
# Edad = log(t)
#longitud   latitud    Dist   Edad   [Fe/H] e_[Fe/H] 
#[grados]   [grados]   [pc]   [año]   [sol]  [sol]
#
l;b;d;Age;FeH;eFeH
116.75337;-1.28894;2700;8.47;;
15.57186;-79.26118;269;7.796;0.04;0.02
117.7961;-1.97888;2420;8.6;;
117.96746;-1.306;3100;8.5;;
118.8438;-1.67034;4365;8.2;0.07;
119.79658;-1.38899;3026;8.126;;
120.27019;-2.54258;1625;7.886;;
120.7452;0.36615;2960;7.9;;
120.74821;-0.92646;3162;8.4;0.07;
120.86121;0.53671;3470;7.11;;
121.55231;-0.8903;2818;8.08;;
122.0111;-1.08282;657;8.114;;
121.96813;-2.70727;1775;8.0;;
122.8431;22.38394;1714;9.88;0.12;0.02
123.12265;-6.2429;2940;6.54;;
123.98167;1.09774;2320;7.2;;
124.67771;-0.59091;1785;7.41;;
124.93904;-1.22262;1148;8.505;0.07;
126.11045;-3.90862;2400;8.26;-0.55;0.33
126.63482;-4.38258;2429;7.324;;
127.19521;0.74791;2430;8.35;-0.25;0.14
128.22423;-1.13277;2469;7.3;;
127.74043;2.08702;3981;9.232;;
128.54583;1.73243;2500;7.0;;
127.19193;9.3889;702;8.373;;
130.13788;0.37624;2570;6.6;;
137.12509;-23.25417;457;9.16;0.01;0.04
133.33386;-1.69436;303;8.23;-0.14;0.2
134.30002;-2.61543;1944;7.608;;
135.06586;-3.58782;2940;7.1;-0.3;
134.72562;0.91883;2344;6.48;;
136.28748;-2.64499;2200;7.0;;
136.01458;-1.19773;3172;7.605;;
137.37651;-3.97113;725;7.95;;
135.83436;0.26772;2274;6.995;;
143.65797;-15.61334;499;8.249;0.07;0.03
135.74734;1.56229;1030;8.4;;
135.65854;2.31032;3961;6.854;;
146.81247;-12.1631;4571;9.7;-0.293;0.17
274.08388;-50.83135;790;9.45;;
143.03635;-3.9632;1800;7.778;;
146.64739;-8.93095;2818;9.03;-0.04;0.05
143.77572;-4.2866;1740;9.1;-0.3;0.17
154.95176;-15.34219;665;8.655;-0.16;0.11
149.77445;-1.01912;2200;8.82;-0.17;0.06
149.84701;0.1871;1230;8.8;;
143.67233;7.65757;1000;7.0;;
152.58983;-1.57432;1320;8.11;;
152.05682;0.25774;1090;8.6;;
157.08146;-3.64223;2200;8.041;0.01;0.14
153.3588;0.1844;711;8.448;-0.13;0.08
180.33658;-16.77179;540;8.158;;
187.69495;-21.11429;437;8.625;-0.095;0.01
160.70311;4.84959;3470;9.25;-0.12;0.07
186.15612;-13.09608;1972;8.612;-0.16;0.03
279.03965;-33.60652;460;8.78;-0.018;0.092
168.40529;1.25926;2490;8.5;-0.36;0.19
168.2857;1.44439;3370;7.173;;
175.64619;-3.64795;2700;10.0;-0.1;0.09
173.58498;-1.68047;3500;6.18;;
173.3731;-0.18856;2005;6.3;;
172.24952;0.69512;1400;8.5;-0.38;0.04
173.89766;0.28127;2300;6.3;;
195.04773;-12.00352;400;6.7;;
174.53449;1.072;1330;7.4;;
199.03107;-10.38965;2510;9.11;;
177.63539;3.09136;1383;8.54;0.089;0.14
205.8724;-12.61467;940;9.25;0.16;0.03
186.60124;0.14421;2200;7.0;;
198.04435;-5.81054;4033;9.231;-0.18;0.15
186.38198;1.24607;2040;7.8;;
186.59094;2.19125;912;8.25;-0.16;0.09
203.5508;-6.192;2700;8.3;;
197.25019;-2.34958;3781;8.515;-0.08;0.08
173.41487;10.65426;3467;9.15;-0.31;
226.0136;-16.10662;2629;8.896;-0.23;0.04
215.99321;-10.10249;790;8.85;-0.4;0.1
192.4312;3.40073;2803;6.686;;
214.43234;-7.54223;359;7.727;0.32;0.08
239.47821;-18.01423;4458;9.032;-0.42;0.05
204.36971;-1.69935;2930;8.538;-0.3;0.2
205.36955;-1.75819;630;8.0;;
203.57703;0.10566;1329;8.427;-0.1;0.05
202.86464;1.04953;2820;9.6;-0.403;0.006
207.15382;-0.88857;1738;7.0;;
209.64918;-1.97855;1950;9.15;-0.02;0.11
202.93575;2.19573;667;6.954;-0.15;
207.88724;0.29855;1687;8.416;;
187.78965;10.29393;3000;8.8;-0.38;0.06
210.66242;-0.73393;1261;8.45;;
231.01952;-10.4446;710;8.4;-0.23;0.02
174.9014;16.88121;558;8.554;0.13;0.11
212.30143;-0.38987;2661;6.665;;
212.5581;0.27919;870;8.2;0.06;0.06
219.29659;-3.1175;1500;7.08;;
210.4075;1.50648;2557;7.846;;
219.84457;-2.24565;2511;8.4;;
235.70156;-9.99067;1100;7.08;;
210.78008;2.85809;4790;8.48;;
217.75879;-0.69351;2290;8.6;;
207.95196;4.40442;3078;9.7;-0.29;0.04
232.33419;-7.314;4169;8.98;;
221.6722;-1.33115;950;8.0;;
218.78856;0.35026;1762;7.89;;
213.44714;3.29737;3800;8.65;-0.17;0.05
226.57984;-2.31411;2251;7.853;;
238.36839;-6.79181;1750;9.18;-0.3;0.02
224.68536;0.38415;1170;8.1;;
242.98924;-8.80242;472;7.08;;
203.38961;11.80253;1949;8.9;-0.08;0.08
228.25573;-0.77635;1520;8.3;;
248.76497;-11.13218;316;7.407;-0.219;0.093
235.59641;-3.8374;1400;6.7;;
227.86044;0.25796;3054;8.826;;
227.53331;1.3445;2380;8.5;0.06;0.04
228.41461;1.01978;1468;8.463;;
239.92793;-4.94146;1056;7.648;-0.01;0.09
235.26997;-2.461;3400;8.45;;
235.38986;-2.3928;3070;7.15;;
230.27892;0.6219;2800;;;
259.55924;-14.24367;4700;9.53;-0.33;0.03
242.45138;-5.75232;1208;8.5;-0.29;0.04
238.21335;-3.33156;1474;7.43;;
230.79756;0.93531;3000;8.45;;
230.81746;1.0068;3700;9.3;;
232.75309;0.77376;2291;7.0;;
234.74515;-0.2179;3981;7.0;;
231.4115;1.94556;3455;6.976;;
236.27052;0.06898;2200;7.9;;
230.95812;3.13023;490;7.861;0.11;0.1
230.48353;3.53685;766;8.867;0.14;0.06
228.94875;4.49789;3154;8.371;-0.32;0.16
231.50416;3.29705;3550;9.34;-0.15;0.09
198.10712;19.63403;2480;9.3;-0.38;0.07
247.98791;-5.48343;2806;6.742;;
235.4712;1.77827;1900;8.7;;
231.85758;4.06442;1510;8.4;0.059;0.09
240.03862;0.13459;1037;8.588;-0.1;0.03
243.98548;-2.05055;3483;8.35;;
247.95158;-4.15765;3500;7.3;;
237.20249;2.15656;2630;9.0;;
223.4614;10.09449;4780;9.9;-0.2;0.04
243.27511;-0.93969;2150;7.187;;
242.5928;-0.33352;1681;7.606;;
242.09722;0.46724;3165;7.078;-0.111;0.09
247.7055;-2.52713;2880;7.7;;
253.56332;-5.83768;1341;8.85;0.07;0.03
243.17229;0.37767;1355;7.103;;
241.62575;2.03453;1194;8.65;-0.07;0.04
244.79078;0.23929;1659;7.089;;
243.07182;1.28457;2289;8.001;;
246.97206;-0.9306;3117;8.121;;
273.81575;-15.85582;409;8.052;0.06;0.03
