#Modelo de Vallée 2005					
					
					
#	RGC	=8.50 r0	=2.71 p=1	2.0 k=0.2126	=2.71 p=1
#	For	mat: arm	X Y R		X Y R
1.0000	0.0000	3.7860	0.0000	3.7860	-8.5000
1.0000	5.0000	3.8420	0.3360	3.8570	-8.1640
1.0000	10.0000	3.8700	0.6820	3.9290	-7.8180
1.0000	15.0000	3.8660	1.0360	4.0030	-7.4640
1.0000	20.0000	3.8320	1.3950	4.0780	-7.1050
1.0000	25.0000	3.7650	1.7560	4.1540	-6.7440
1.0000	30.0000	3.6650	2.1160	4.2320	-6.3840
1.0000	35.0000	3.5310	2.4730	4.3110	-6.0270
1.0000	40.0000	3.3640	2.8230	4.3920	-5.6770
1.0000	45.0000	3.1640	3.1640	4.4740	-5.3360
1.0000	50.0000	2.9300	3.4910	4.5580	-5.0090
1.0000	55.0000	2.6630	3.8030	4.6430	-4.6970
1.0000	60.0000	2.3650	4.0960	4.7300	-4.4040
1.0000	65.0000	2.0360	4.3670	4.8190	-4.1330
1.0000	70.0000	1.6790	4.6130	4.9090	-3.8870
1.0000	75.0000	1.2940	4.8300	5.0010	-3.6700
1.0000	80.0000	0.8850	5.0170	5.0940	-3.4830
1.0000	85.0000	0.4520	5.1700	5.1900	-3.3300
1.0000	90.0000	0.0000	5.2870	5.2870	-3.2130
1.0000	95.0000	-0.4690	5.3650	5.3860	-3.1350
1.0000	100.0000	-0.9530	5.4030	5.4870	-3.0970
1.0000	105.0000	-1.4470	5.3990	5.5890	-3.1010
1.0000	110.0000	-1.9470	5.3510	5.6940	-3.1490
1.0000	115.0000	-2.4510	5.2570	5.8010	-3.2430
1.0000	120.0000	-2.9550	5.1180	5.9090	-3.3820
1.0000	125.0000	-3.4530	4.9310	6.0200	-3.5690
1.0000	130.0000	-3.9420	4.6980	6.1330	-3.8020
1.0000	135.0000	-4.4180	4.4180	6.2470	-4.0820
1.0000	140.0000	-4.8750	4.0910	6.3640	-4.4090
1.0000	145.0000	-5.3110	3.7190	6.4840	-4.7810
1.0000	150.0000	-5.7200	3.3020	6.6050	-5.1980
1.0000	155.0000	-6.0980	2.8440	6.7290	-5.6560
1.0000	160.0000	-6.4410	2.3440	6.8550	-6.1560
1.0000	165.0000	-6.7450	1.8070	6.9830	-6.6930
1.0000	170.0000	-7.0060	1.2350	7.1140	-7.2650
1.0000	175.0000	-7.2190	0.6320	7.2470	-7.8680
1.0000	180.0000	-7.3820	0.0000	7.3820	-8.5000
1.0000	185.0000	-7.4920	-0.6550	7.5210	-9.1550
1.0000	190.0000	-7.5450	-1.3300	7.6620	-9.8300
1.0000	195.0000	-7.5390	-2.0200	7.8050	-10.5200
1.0000	200.0000	-7.4720	-2.7190	7.9510	-11.2190
1.0000	205.0000	-7.3410	-3.4230	8.1000	-11.9230
