#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-10-18T19:42:27 [V7.294]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	version=7.294	
#INFO	-ref=VIZ634efed233c530	
#INFO	-out.max=unlimited	
#INFO	queryParameters=20	
#-oc.form=sexa
#-out.max=unlimited
#-out.add=_Glon,_Glat
#-sort=_r
#-nav=cat:J/MNRAS/504/356&tab:{J/MNRAS/504/356/table12}&key:source=J/MNRAS/504/356&HTTPPRM:&&-ref=VIZ634efed233c530&-file=.&-oc.form=sexa&-out.form=verb&-c.r=  2&-c.geom=r&-order=I&-out=Cluster&-out=RA_ICRS&-out=DE_ICRS&-out=r50&-out=N&-out=pmRA&-out=e_pmRA&-out=pmDE&-out=e_pmDE&-out=Plx&-out=e_Plx&-out=RV&-out=e_RV&-out=NRV&-out=Dist&-out=e_Dist&-out=logage&-out=e_logage&-out=[Fe/H]&-out=e_[Fe/H]&-out=Av&-out=e_Av&-out=FileName&-out=SimbadName&-out=_RA.icrs&-out=_DE.icrs&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=50&-out.form=HTML Table&-c.eq=J2000&-c.u=arcmin&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/504/356/table12
#-order=I
#-out=Cluster
#N=>10
#-out=RV
#RV=!=null
#-out=e_RV
#NRV=>1
#-out=Dist
#Dist=!=null
#-out=e_Dist
#

#RESOURCE=yCat_75040356
#Name: J/MNRAS/504/356
#Title: Updated parameters of 1743 open clusters (Dias+, 2021)
#Coosys	H_2015.500:	ICRS
#Coosys	G:	galactic
#Table	J_MNRAS_504_356_table12:
#Name: J/MNRAS/504/356/table12
#Title: Results of mean astrometric parameters obtained using the Gaia DR2 stellar proper motion and parallaxes (table 1) and fundamental parameters obtained from the isochrone fits (table2)
#Column	_Glon	(F10.6)	Galactic longitude at Epoch=J2015.5, proper motions taken into account 	[ucd=pos.galactic.lon]
#Column	_Glat	(F10.6)	Galactic latitude at Epoch=J2015.5, proper motions taken into account 	[ucd=pos.galactic.lat]
#Column	Cluster	(a17)	Cluster name	[ucd=meta.id;meta.main]
#Column	RV	(F8.3)	? Cluster mean radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F7.3)	? rms uncertainty on pm RV	[ucd=stat.error]
#Column	Dist	(I4)	Cluster distance	[ucd=pos.distance]
#Column	e_Dist	(I4)	rms uncertainty on Dist	[ucd=stat.error]
_Glon;_Glat;Cluster;RV;e_RV;Dist;e_Dist
#deg;deg; ;km/s;km/s;pc;pc
#----------;----------;-----------------;--------;-------;----;----
155.707379;-17.743708;ASCC_10          ; -10.870;  5.243; 643;  30
068.031685;+11.591740;ASCC_101         ; -19.198;  2.884; 397;   1
062.858154;+01.999050;ASCC_105         ; -14.302;  4.090; 545;   8
150.545345;-09.195826;ASCC_11          ; -14.242;  0.233; 849;  20
070.442308;+01.367418;ASCC_110         ;  -1.178;  0.856;1583; 143
074.633295;+02.129723;ASCC_111         ; -22.689;  1.165; 819;  18
082.924419;-06.716145;ASCC_113         ;  -4.195;  3.867; 559;   9
162.971017;-01.848062;ASCC_12          ; -69.436;  0.367;1010;  36
104.485191;-03.955289;ASCC_123         ;  -3.225;  1.738; 233;   1
112.317229;+04.181760;ASCC_127         ; -11.267;  2.676; 365;  10
201.168894;-18.383851;ASCC_16          ;  21.308;  1.696; 348;   3
204.900437;-19.407038;ASCC_19          ;  23.576;  2.719; 356;   2
199.964265;-16.654704;ASCC_21          ;  15.313;  3.818; 343;   5
167.459571;+14.408764;ASCC_23          ; -13.420;  1.245; 608;  12
238.033538;-09.462314;ASCC_32          ;  34.607;  4.624; 792;  11
219.161918;+12.345619;ASCC_41          ; -10.409;  1.935; 297;   5
281.617068;+01.289090;ASCC_58          ;  12.331;  3.486; 477;   4
299.911223;-04.792909;ASCC_71          ; -11.371;  0.322;1187;  33
301.634260;-04.379148;ASCC_73          ; -12.681;  3.412; 644;  11
319.954371;-02.898919;ASCC_79          ;  12.322;  1.896; 831;   4
339.811086;-00.232300;ASCC_85          ;  19.977; 11.123; 848;  24
355.114363;+08.202744;ASCC_87          ;   4.101;  2.701; 774;  26
350.044401;+02.999323;ASCC_88          ; -22.750;  7.581; 864;  28
354.225191;-01.920123;ASCC_90          ;   7.722;  0.573; 554;  16
014.251541;-05.590513;ASCC_97          ;   6.079;  4.347; 564;   7
016.162701;-07.740558;ASCC_99          ; -23.200;  0.614; 294;   0
123.238730;-13.335053;Alessi_1         ;  -3.343;  1.024; 681;  15
031.595160;-21.029855;Alessi_10        ; -12.671;  1.819; 445;   9
067.525182;-11.410333;Alessi_12        ;  -3.374;  2.662; 539;  10
237.233006;-56.073113;Alessi_13        ;  20.448;  1.822; 104;   1
040.614582;+12.725729;Alessi_19        ; -47.055;  1.653; 573;   5
152.314262;+06.398470;Alessi_2         ; -10.466;  1.943; 611;   9
117.613070;-03.705509;Alessi_20        ;  -4.979;  3.454; 423;   2
223.496818;-00.010300;Alessi_21        ;  41.454;  2.255; 571;   1
328.876532;-14.576506;Alessi_24        ;   7.304;  2.799; 482;   3
257.462858;-14.746968;Alessi_3         ;   2.314;  0.927; 278;   0
101.761373;-11.411308;Alessi_37        ; -10.602;  4.370; 706;   8
262.570374;+01.491221;Alessi_43        ;  22.806;  9.149; 937;   4
040.013958;-10.344575;Alessi_44        ;  -9.767;  1.369; 668;  24
287.991286;-02.043892;Alessi_5         ;  11.504;  3.074; 395;   1
313.649411;-05.556874;Alessi_6         ; -14.197;  0.627; 865;  21
052.795540;+08.676408;Alessi_62        ;  13.440;  0.860; 617;   8
326.562329;+04.253913;Alessi_8         ; -26.868;  4.344; 671;  12
344.102171;-09.189558;Alessi_9         ;  -6.213;  0.910; 207;   0
087.423790;+09.249004;Alessi_Teutsch_11; -25.929;  1.167; 642;   7
330.597106;-10.361486;Alessi_Teutsch_12; -11.236;  5.940; 605;   7
266.456775;-12.859345;Alessi_Teutsch_3 ;  17.865;  4.448; 687;   7
297.034961;+01.363183;Alessi_Teutsch_8 ; -15.380;  0.297; 974;  21
110.275191;-12.881879;Aveni_Hunter_1   ; -15.908;  2.990; 420;   3
225.479939;-02.544177;BDSB96           ;  27.502; 15.058;1155;  84
314.304523;-06.195054;BH_164           ;   0.046;  3.071; 416;   2
249.875826;-00.024371;BH_19            ;  86.852;  1.858;3620; 515
344.260959;+01.602019;BH_202           ; -49.770;  0.689;1504;  99
344.944113;+00.445717;BH_211           ; -48.896;  0.537;1638; 123
253.922337;-00.943448;BH_23            ;  24.745;  6.293; 436;   1
262.348044;-01.785555;BH_37            ;  51.937;  1.237;3439; 210
261.525630;+03.747197;BH_55            ;  32.779;  1.024;4640; 407
264.456710;+01.560427;BH_56            ;  20.208;  3.900; 865;  23
275.494153;-01.176268;BH_72            ;  50.334;  1.435;4289; 432
280.725054;+00.133804;BH_87            ; -13.333;  1.597;1899;  80
278.691247;+03.380954;BH_88            ;  22.751;  1.100;2011; 321
286.552148;-00.589251;BH_99            ;  11.571;  3.865; 443;   1
027.319446;-01.953313;Basel_1          ;  24.096;  0.834;1523;  54
187.437428;-01.118722;Basel_11b        ;   3.651;  0.782;1686;  69
179.297834;+01.269281;Basel_4          ;   6.533;  0.171;2833;  88
138.614992;+08.882513;Berkeley_10      ; -36.134;  1.071;2004; 172
155.075043;+05.914906;Berkeley_13      ; -28.558;  1.428;3259; 302
162.801270;+00.655098;Berkeley_14      ;  22.986;  1.467;4580; 294
175.656016;-03.680365;Berkeley_17      ; -72.502;  1.385;3135; 155
212.154584;-03.426783;Berkeley_24      ;  73.720;  2.004;4717; 306
210.408252;+01.481751;Berkeley_28      ;  68.074;  0.716;4517; 390
207.956425;+04.405843;Berkeley_32      ; 106.417;  1.012;3321;  63
225.444926;-04.601294;Berkeley_33      ;  78.836;  1.382;4378; 400
227.501292;-00.566148;Berkeley_36      ;  63.526;  0.411;4978; 340
223.523236;+10.084544;Berkeley_39      ;  60.117;  0.844;4356;  95
045.673135;-00.132199;Berkeley_43      ;  29.620;  0.743;2459;1151
053.215625;+03.344554;Berkeley_44      ;   3.198;  0.882;2802; 184
083.073719;-04.134971;Berkeley_54      ; -54.951;  1.478;6955; 609
093.023279;+01.807365;Berkeley_55      ; -42.456;  0.505;2577; 243
118.851939;-01.670332;Berkeley_60      ; -60.936;  0.783;2917; 232
154.866993;+02.485372;Berkeley_67      ;  -0.092;  0.906;2184; 135
162.060212;-02.410402;Berkeley_68      ; -21.539;  0.987;3027; 118
174.444631;-01.856461;Berkeley_69      ;  40.227;  1.340;3109; 318
166.867699;+03.628956;Berkeley_70      ; -15.164;  1.531;4595; 170
127.360605;+13.211936;Berkeley_8       ; -28.168;  0.700;3204; 277
033.694680;-02.482855;Berkeley_81      ;  49.891;  0.449;3685; 342
075.702846;+00.998821;Berkeley_85      ; -33.478;  0.771;3005; 441
083.144307;+04.836792;Berkeley_89      ; -42.314;  1.479;3140; 268
146.066455;-02.824971;Berkeley_9       ; -17.248;  0.261;1788; 209
103.861596;-05.619666;Berkeley_98      ; -64.464;  1.049;3452; 256
256.375994;-85.847390;Blanco_1         ;   5.754;  1.379; 236;   0
286.995118;-00.325120;Bochum_10        ;   0.943;  0.290;2365;  19
162.518459;-05.847187;COIN-Gaia_11     ;   0.162;  4.186; 635;  19
166.106692;+02.118560;COIN-Gaia_12     ;  -7.792;  0.911; 924;  29
167.379979;+04.781883;COIN-Gaia_13     ; -10.570;  4.257; 509;   2
124.187525;-07.449662;COIN-Gaia_2      ; -31.991;  0.413;1122;  57
179.719081;+04.810191;COIN-Gaia_22     ;  14.721;  0.292;1808;  75
189.912075;-00.234006;COIN-Gaia_25     ; -14.298;  0.855; 774;  26
192.715761;-08.394439;COIN-Gaia_27     ;  29.634;  0.461;1062;  43
125.828587;-02.238765;COIN-Gaia_3      ; -40.543;  1.075;1096; 110
125.675125;+07.868776;COIN-Gaia_30     ; -25.864;  0.410; 723;   8
190.118461;-02.345183;COIN-Gaia_41     ;  20.121;  0.757;1764; 181
130.554064;-03.939934;COIN-Gaia_5      ; -23.966;  6.522; 850;  57
130.802109;-03.313036;COIN-Gaia_6      ; -42.341;  0.474;2899; 155
139.698421;-09.407671;COIN-Gaia_8      ;  -9.303;  4.812; 716;  10
145.731081;-08.564140;COIN-Gaia_9      ;  -3.054;  4.256; 832;  23
209.634277;-01.887034;Collinder_110    ;  38.169;  0.819;1991;  80
242.915551;-08.994872;Collinder_132    ;  36.910;  3.465; 648;  11
248.993454;-11.317771;Collinder_135    ;  16.513;  2.254; 307;   8
244.963081;-07.862851;Collinder_140    ;  19.669;  3.924; 377;   8
261.530498;+00.959381;Collinder_197    ;  35.065;  1.745; 833;  64
301.693314;-05.538157;Collinder_261    ; -24.654;  0.671;2806; 119
307.579006;+01.199148;Collinder_272    ;  -5.821;  2.732;1885;  98
